month,new_customers,lost_customers,revenue,marketing_spend,total_customers,deals_closed,deals_total
2024-01,45,12,125000,18000,320,38,95
2024-02,52,15,138000,19500,357,42,102
2024-03,48,18,132000,21000,387,40,98
2024-04,61,14,156000,22500,434,51,115
2024-05,55,22,148000,24000,467,46,108
2024-06,58,19,162000,25500,506,49,112
2024-07,64,25,175000,27000,545,54,120
2024-08,59,28,168000,28500,576,50,118
2024-09,72,21,189000,30000,627,62,130
2024-10,68,24,195000,31500,671,58,125
2024-11,75,30,208000,33000,716,65,135
2024-12,82,27,225000,35000,771,72,148
2025-01,85,28,232000,36000,828,75,152
2025-02,88,26,238000,37000,890,78,155
2025-03,90,30,245000,38000,950,80,160
2025-04,92,28,252000,39000,1014,82,162
2025-05,95,32,258000,40000,1077,85,165
2025-06,98,29,265000,41000,1146,88,168
2025-07,100,35,272000,42000,1211,90,170
2025-08,97,33,268000,43000,1275,87,172
2025-09,105,31,280000,44000,1349,92,175
2025-10,102,36,285000,45000,1415,90,178
2025-11,110,38,295000,46000,1487,95,182
2025-12,115,35,305000,48000,1567,98,188
2026-01,118,40,312000,49000,1645,100,190
2026-02,120,38,318000,50000,1727,102,192
2026-03,125,42,325000,51000,1810,105,195
2026-04,122,40,330000,52000,1892,103,198
2026-05,128,45,338000,53000,1975,108,200
2026-06,130,43,345000,54000,2062,112,205
